aajolik,আজলিক
onupreronat,অনুপ্রেৰণাত
thilee,থিলী
naamdofar,নামদফাৰ
ebare,এবাৰে
pawona,পাৱনা
protimoloi,প্ৰতিমলৈ
automaticaly,অটোমেটিকেলি
kolaguru,কলাগুৰু
ghilagurit,ঘিলাগুৰিত
xomosyaxomuhot,সমস্যাসমূহত
frastrated,ফ্ৰাষ্ট্ৰেটেড
reformation,ৰিফৰ্মেশ্যন
xonibisto,সনিবিষ্ট
komotapurbaxi,কমতাপুৰবাসী
xunaiparot,সোনাইপাৰত
bojuwar,বজোৱাৰ
madhobpurot,মাধৱপুৰত
obhibortonkhonor,অভিৱর্তনখনৰ
kagojkhonor,কাগজখনৰ
opokormor,অপকৰ্মৰ
suwan,ছোৱান
benkokor,বেঙ্ককৰ
nojwolibou,নজ্বলিবও
punet,পুণেত
boixistyoxomuh,বৈশিষ্ট্যসমূহ
trakot,ট্ৰাকত
toruwalot,তৰোৱালত
probhabere,প্রভাৱেৰে
hoskile,হস্কিলে
porikhyaxorboswo,পৰীক্ষাসর্বস্ব
bartalapu,বাৰ্তালাপো
pointer,পয়েন্টাৰ
katlisorar,কাটলিছৰাৰ
igari,ইগাৰি
itakhular,ইটাখোলাৰ
nipunotar,নিপুণতাৰ
bonuj,বনোজ
unnaxikota,উন্নাসিকতা
halhe,হালহে
xangbadkormi,সাংবাদকৰ্মী
posiboloi,পচিবলৈ
reketor,ৰেকেটৰ
xamogriloi,সামগ্ৰীলৈ
bahinigaont,বাহিনীগাঁৱত
prefer,প্ৰিফাৰ
rumai,ৰুমাই
miyai,মিঞাই
xixir,শিশিৰ
radhai,ৰাধাই
phoneebhuxone,ফণীভূষণে
ekagrota,একাগ্ৰতা
jonmodintur,জন্মদিনটোৰ
gurvend,গুৰভেণ্ড
obhijujonor,অভিযোজনৰ
mustafizur,মুস্তাফিজুৰ
bookingor,বুকিঙৰ
jugdrostar,যুগদ্ৰষ্টাৰ
bhramyomanor,ভ্ৰাম্যমানৰ
gunjanonor,গুঞ্জাননৰ
lathisalonare,লাঠিচালনাৰে
bhobisyoter,ভবিষ্যতেৰ
dimu,দিমু
xila,শিলা
xobdobur,শব্দবোৰ
bibhranti,বিভ্ৰান্তি
nuxuwai,নুশুৱাই
rajneetiye,ৰাজনীতিয়ে
aagsur,আগছুৰ
tibrotar,তীব্ৰতাৰ
manuhokei,মানুহকেই
pobitrotar,পবিত্ৰতাৰ
taisire,তাইছিৰে
aakhorbur,আখৰবোৰ
postere,পোষ্টেৰে
curative,কিউৰেটিভ
protimabilakor,প্রতিমাবিলাকৰ
karbarbur,কাৰবাৰবোৰ
xongskritei,সংস্কৃতেই
namakoronok,নামাকৰণক
jomojomai,জমজমাই
eikhiniloike,এইখিনিলৈকে
aajhara,আজহাৰা
gbm,জিবিএম
xarojontrot,ষাড়যন্ত্ৰত
senelor,চেনেলৰ
pokaloike,পকালৈকে
oddhoxamorik,অদ্ধসামৰিক
oronyobhumi,অৰণ্যভূমি
diyamote,দিয়ামতে
fisingpanit,ফিচিংপানীত
bumorahok,বুমৰাহক
poloku,পলকো
helency,হেলেঞ্চি
kenbhasor,কেনভাছৰ
nomoribo,নমৰিব
gonokor,গণকৰ
kodason,কদাচন
baike,বাইকে
kaamok,কামক
mukhyokendro,মুখ্যকেন্দ্ৰ
rohosyabrito,ৰহস্যাবৃত
nutbur,নোটবোৰ
puxokototwojukto,পোষকতত্বযুক্ত
prothombidhe,প্রথমবিধে
glesserine,গ্লেচাৰিন
makehe,মাকেহে
netaxokolei,নেতাসকলেই
novorox,নৱৰস
nigorito,নিগৰিত
inotu,ইনতো
tinigorakik,তিনিগৰাকীক
salnare,চালনাৰে
waane,ৱানে
motorstandor,মটৰষ্টেণ্ডৰ
kulokhmik,কুলক্ষ্মীক
komple,কমপ্লে
puratwot,পুৰাত্বত
capsicumok,কেপচিকামক
oikotanor,ঐকতানৰ
kyaha,ক্যাহা
hakama,হাকামা
satroihe,ছাত্রইহে
koirik,কৈৰীক
porikhyarthixokololoi,পৰীক্ষার্থীসকললৈ
kurusipurno,কুৰুচিপূর্ণ
millin,মিলিন
lukesontu,লোকেচনটো
gardjone,গাৰ্ডজনে
partuk,পাৰটোক
rajboruwa,ৰাজবৰুৱা
rothor,ৰথৰ
lalkilla,লালকিল্লা
anguthitur,আঙুঠিটোৰ
soritrowan,চৰিত্ৰৱান
xomajorpora,সমাজৰপৰা
xorpok,সর্পক
ghaate,ঘাটে
malpuwar,মালপোৱাৰ
tarkata,তাৰকাটা
rijubala,ৰিজুবালা
injinjukto,ইঞ্জিনযুক্ত
nipunbhabe,নিপুণভাৱে
juganmontri,যোগানমন্ত্ৰী
identifier,আইডেন্টিফায়াৰ
dewalbur,দেৱালবোৰ
xiliguri,শিলিগুৰি
uthilehe,উঠিলেহে
dwibon,দ্বিবন
xokoluburorei,সকলোবোৰৰেই
juddhokhonor,যুদ্ধখনৰ
probhutwoxali,প্রভুত্বশালী
uporhali,উপৰহালী
senitary,চেনিটাৰী
sekbuk,চেকবুক
bhongokarixokolor,ভংগকাৰীসকলৰ
kriximontrir,কৃষিমন্ত্ৰীৰ
jontuburok,জন্তুবোৰক
fagunagaon,ফাগুনাগাঁও
bahdhari,বাঁহধাৰী
keimah,কেইমাহ
gaalbe,গালবে
kolyanpur,কল্যাণপুৰ
noloisil,নলৈছিল
aagotu,আগতো
ujjwolabor,উজ্বলাবৰ
horiproxadok,হৰিপ্ৰসাদক
jengoniloi,জেঙনিলৈ
xundorei,সুন্দৰেই
miton,মিটন
aanglongore,আংলঙৰে
korutehe,কৰোতেহে
mahuba,মাহোবা
faina,ফাইনা
kotuwal,কটোৱাল
suitir,চুইটিৰ
jonmosthan,জন্মস্থান
lonot,লনত
nijeutu,নিজেওতো
dukhik,দুখিক
celebrityr,চেলিব্ৰিটিৰ
prosarmulok,প্রচাৰমূলক
uponeta,উপনেতা
xakhyatokar,সাক্ষাতকাৰ
daxotwo,দাসত্ব
nukhu,নুখু
lukaronyot,লোকাৰণ্যত
obrahmon,অব্ৰাহ্মণ
maagu,মাগো
lohokorpara,লহকৰপাৰা
ghotonakromor,ঘটনাক্ৰমৰ
ranar,ৰাণাৰ
boisi,বইছি
boxontokalin,বসন্তকালীন
dwabingxotitom,দ্বাবিংশতিতম
bigyaponot,বিজ্ঞাপনত
ukolil,ওকলিল
femasei,ফেমাছেই
krishnair,কৃষ্ণাইৰ
puthauxokolor,পোঠাওসকলৰ
basim,বাছিম
jonogusthitu,জনগোষ্ঠীটো
rastatur,ৰাস্তাটোৰ
xomadar,সমাদাৰ
pisdinakhonei,পিছদিনাখনেই
rekapaharot,ৰেকাপাহাৰত
agrohanwito,আগ্ৰহান্বিত
pindhisilu,পিন্ধিছিলো
gyanxongkor,জ্ঞানশংকৰ
murtitur,মূৰ্তিটোৰ
bodmas,বদমাছ
xoktisworup,শক্তিস্বৰূপ
controlere,কণ্ট্রলেৰে
ekekhonoke,একেখনকে
xombhawonai,সম্ভাৱনাই
mudrak,মুদ্রাক
protaronai,প্ৰতাৰণাই
sagolsari,ছাগলছাৰী
nigoraisil,নিগৰাইছিল
duharibo,দোহাৰিব
porosporagot,পৰস্পৰাগত
derida,ডেৰিদা
karjyonibarhok,কাৰ্য্যনিবাৰ্হক
xotyanuxondhan,সত্যানুসন্ধান
tradot,ট্রেডত
deutahot,দেউতাহঁত
ostin,অষ্টিন
jyotixijone,জ্যোতিষীজনে
keibojonu,কেইবজনো
fuloni,ফুলনি
xahajyarthe,সাহায্যাৰ্থে
oghuxito,অঘোষিত
logolguwa,লগলগোৱা
xatbihut,সাতবিহুত
nogorore,নগৰৰে
natokok,নাটকক
jonotaiu,জনতাইও
tiluwar,তিলোৱাৰ
bajun,বাজুন
ingrajire,ইংৰাজীৰে
dolopotigorakik,দলপতিগৰাকীক
lukesonot,লোকেচনত
sriganesh,শ্ৰীগণেশ
neugeu,নেওগেও
protyakhan,প্রত্যাখান
khyomotajukto,ক্ষমতাযুক্ত
kalainsorat,কালাইনছৰাত
glase,গ্লাছে
refil,ৰিফিল
romonikhurar,ৰমণীখুৰাৰ
dalalhot,দালালহঁত
tingtongor,টিংটঙৰ
distrik,ডিষ্ট্রিক
cowartertur,কোৱাৰ্টাৰটোৰ
nijuktiu,নিযুক্তিও
kento,কেন্ত
tirthojatriye,তীৰ্থযাত্ৰীয়ে
xombondhe,সম্বন্ধে
gronthoxomuhe,গ্রন্থসমূহে
bibhedgami,বিভেদগামী
peparoloi,পেপাৰলৈ
gomarir,গমাৰীৰ
mrityobarxikit,মৃত্যবাৰ্ষিকীত
lathighat,লাঠিঘাট
gondheswor,গন্ধেশ্বৰ
prowahe,প্ৰৱাহে
bohulota,বহুলতা
nethakiba,নেথাকিবা
xadhibo,সাধিব
timoloi,টিমলৈ
dormohatei,দৰমহাতেই
