namdharirao,নামধারীরাও
hindukusher,হিন্দুকুশের
farajikandi,ফরাজীকান্দি
moubarak,মুবারক
chiung,চিয়ুং
bivabo,বিভাবো
masaha,মাসাহা
bouddhoi,বৌদ্ধই
prochestakale,প্রচেষ্টাকালে
barjani,বারজানি
lavloksaner,লাভলোকসানের
besl,বিইএসএল
joronprotinidhi,জরনপ্রতিনিধি
cavitationer,কেভিটেশনের
prangonsthito,প্রাঙ্গণস্থিত
parmukh,পরমুখ
ukili,উকিলি
silenske,সাইলেন্সকে
swadhinur,স্বাধীনুর
shuklalhate,শুকলালহাটে
paltieche,পাল্টিয়েছে
jojonagren,যোজনাগ্রেণ
narabsar,নরবসার
bolakader,বলাকাদের
durotoro,দূরতর
stholbhagei,স্থলভাগেই
aproprocharer,অপ্রপ্রচারের
jumsoho,জুমসহ
chandmari,চাঁদমারী
elquintopoder,এলকুইন্তোপোদার
kandote,কাণ্ডতে
karbyabasthar,করব্যবস্থার
bafel,বাফেল
siimes,সিমেস্
putler,পুটলার
ankbar,আঁকবার
liburnia,লিবুর্নিয়ায়
rebelor,রেবেলোর
procharbedite,প্রচারবেদিতে
rashtrasanghao,রাষ্ট্রসংঘও
abedrabbo,আবেদরাব্বো
viruses,ভাইরাস
forrestyr,ফরেস্টির
corominassera,কোরোমিনাসেরা
kothantore,কথান্তরে
purbaram,পূর্বারাম
khatibderke,খতিবদেরকে
sthastho,স্থাস্থ
amusement,এমিউজমেন্ট
bongflixe,বংফ্লিক্সে
hadinagar,হাদিনগর
bidyutcholito,বিদ্যুৎচলিত
accell,অ্যাকসেল
sanatankakur,সনাতনকাকুর
montridoler,মন্ত্রীদলের
chhamet,ছামেত
jinatunke,জিনাতুনকে
lagtechena,লাগতেছেনা
lokgan,লোকগণ
gbcci,জিবিসিসিআই
pestgulo,পেস্টগুলো
ahsanullah,অহসানউল্লাহ
sahajyasebi,সাহায্যসেবী
kumannam,কুমান্নাম
khetronather,ক্ষেত্রনাথের
lathan,ল্যাথান
synerflaxer,সিনারফ্ল্যাক্সের
stobmontro,স্তবমন্ত্র
samaytite,সময়টিতে
chhad,ছাদ
brishtibhora,বৃষ্টিভরা
faunalap,ফৌনালাপ
swabalamban,স্ববলম্বন
mankurd,মানকুর্দ
janbahongulokeo,যানবাহনগুলোকেও
jinjibar,জিঞ্জিবার
khujli,খুজলি
torinote,তোরিনোতে
torera,তোরেরা
briddhashramgulor,বৃদ্ধাশ্রমগুলোর
nirbhorjoggota,নির্ভরযোগ্যতা
olver,অল্ভার
aroup,অরূপ
ejate,এজাতে
kollanitei,কল্যানীতেই
rafay,রাফায়
sanjhbatira,সাঁঝবাতিরা
mileito,মিলেইতো
khappareo,খপ্পরেও
boktobyekkhubdho,বক্তব্যেক্ষুব্ধ
mobility,মোবাইলিটি
samakoner,সমকোণের
mohamuder,মোহামুদের
sahonagorikder,সহনাগরিকদের
baramasi,বারোমাসি
abomanonra,অবমাননরা
bolechin,বলেছিন
raakhalen,রাখলেন
amak,আমাক
picturetao,পিকচারটাও
kotasure,কোটাসুরে
buddhirbalang,বুদ্ধির্বলং
juventaskei,জুভেন্তাসকেই
deboneeta,দেবনীতা
sudinshesher,সুদিনশেষের
pouchabo,পৌঁছাবো
mohrabadi,মোহরাবাদি
bodhichorjobitarer,বোধিচর্যবিতারের
bishardo,বিশারদো
fonvittik,ফোনভিত্তিক
bishuddhotabadi,বিশুদ্ধতাবাদী
netakarmisaha,নেতকর্মীসহ
bhoujyo,ভৌজ্য
ghodatikeo,ঘোড়াটিকেও
umred,উমরেদ
teereabasthita,তীরেঅবস্থিত
sadhanatwen,সাধনত্বেন
rakii,রকি
hypoallergenic,হাইপোঅ্যালার্জেনিক
senatala,সেনাতলা
corolar,কোরোলার
prosonnor,প্রসন্নর
patulir,পাটুলির
rihanai,রিহানাই
csmt,সিএসএমটি
