shindhanchem,शिंधांचें
swapnaanvaroon,स्वप्नांवरून
apnnavchey,आपणावचे
kalpanaamay,कल्पनामय
amerikaayan,अमेरिकायन
khedashivaapurachi,खेडशिवापूरची
dudhamadhun,दुधामधून
pannashipurvi,पन्नाशीपूर्वी
stribaddhal,स्त्रीबद्धल
pakitamar,पाकिटमार
niyamala,नियमला
charting,चार्टिंग
manoryaavaroon,मनोर्यावरून
milindji,मिलिंदजी
kuthyaatari,कुठ्यातरी
ringz,रिंग्ज
rupyaachee,रुप्याचीं
mandiraasamor,मन्दिरासमोर
hatapayache,हातापायाचे
kunkvachya,कुंकवाच्या
pandurangache,पांडुरंगाचे
kablaatii,कबलाती
laagshillyaa,लागशिल्ल्या
baisaloy,बैसलोय
yogadanavishim,योगदानाविशीं
astraavar,अस्त्रावर
bolibhashent,बोलीभाशेंत
kharvadleli,खरवडलेली
bastards,बास्टर्डस
annachatraanmadhye,अन्नछत्रांमध्ये
ghodyaanihi,घोड्यांनीही
reshakruti,रेषाकृती
thokalebaaj,ठोकळेबाज
madaken,मडकें
baithakaavasthet,बैठकावस्थेत
aaraktatekade,आरक्ततेकडे
vidhyapithachya,विध्यापीठाच्या
sevanivruttinantar,सेवनिवृत्तीनंतर
kanekteekatachyaa,कनेक्टीकटच्या
jabrid,जाब्रीद
bindraaban,बिंद्राबन
satrevelaya,सत्रेवेलया
jennasaavan,जेन्नासावन
kshitijakhali,क्षितीजाखाली
kanyaansah,कन्यांसह
durghatanaapravan,दुर्घटनाप्रवण
mundeni,मुंडेनी
fitanesabaddalachee,फिटनेसबद्दलची
covering,कवरिंग
kalakatyaatahee,कलकत्त्यातही
rajasthanasarkhya,राजस्थानासारख्या
misalapant,मिसळपंत
aathavalele,आठवलेले
vikascha,विकासचा
falitaachi,फलिताची
paantyaacher,पाण्ट्याचेर
gundaalaavi,गुंडाळावी
bhidegurujinche,भिडेगुरुजींचे
graamaasi,ग्रामासी
sahasrapratisaadakee,सहस्रप्रतिसादकी
gagabhattanchya,गागाभट्टांच्या
mazyashobat,माझ्याशोबत
mangalachya,मंगळाच्या
manorathaanvar,मनोरथांवर
kupano,कुपांनो
dharanyamage,धरण्यामागे
goshaalechi,गोशाळेची
tekadibhovati,टेकडीभोवती
vajovpacho,वाजोवपाचो
thevalyaanech,ठेवल्यानेच
anubhavanyasarakha,अनुभवण्यासारखा
kalkattaach,कलकत्ताच
kavitichya,कवितीच्या
daaunapementasaathee,डाऊनपेमेंटसाठी
thipakyaanchi,ठिपक्यांची
mharashtrantlyan,म्हाराष्ट्रांतल्यान
suryaabhovatihi,सूर्याभोवतीही
ghaabartaatach,घाबरतातच
trasashi,त्रासाशी
kavyaprakaransobat,काव्यप्रकारांसोबत
devangcha,देवांगचा
vaahatukapranaaleechaa,वाहतूकप्रणालीचा
najarant,नजरांत
ramjoshisobat,रामजोशीसोबत
sayakalinganantaracha,सायकलिंगनंतरचा
veazak,वैजक
jananchyat,जनांच्यात
tapasanitala,तपासणीतला
chyachya,च्याच्या
samparkaans,संपर्कांस
uprasun,उपरासून
varsasahastraan,वर्ससहस्त्रां
digitor,डिजीटर
thakalyaanantarahi,थकल्यानंतरही
aapreshanach,आप्रेशनच
dhaavillen,धाविल्लें
gondolyachya,गोंडोल्याच्या
upakaranaamadhyehee,उपकरणामध्येही
nemanukeemule,नेमणुकीमुळे
ayodhyet,अयोध्येत
pardarshakta,पारदर्शकता
latikaach,लतिकाच
gharkaran,घरकारान
strotaamadhe,स्त्रोतामधे
soyimsaathie,सोयींसाठी
laageenche,लागींचे
girza,गिरजा
manvashivay,मानवाशिवाय
paryavarnachahi,पर्यावरणाचाही
punaragamananimitt,पुनरागमनानिमित्त
vidhint,विधींत
aathval,आठवल
goshteensaarakheech,गोष्टींसारखीच
banpaav,बनपाव
jadhavgadache,जाधवगडाचे
taavijaache,ताविजाचे
zhenga,झेंगा
aadvyaa,आडव्या
amaryad,अमर्याद
brendla,ब्रॅंडला
pratinidhitvaacher,प्रतिनिधित्वाचेर
mahabatkhanan,महाबतखानान
halakyo,हलक्यो
chhotyashyaa,छोट्यश्या
thaavandi,थावंदी
kadiye,कडिये
sampavanyaas,संपवण्यास
doshpaatra,दोषपात्र
chromite,क्रोमायट
trumpworche,ट्रम्पवरचे
istrivaalyaakade,इस्त्रीवाल्याकडे
laagunuy,लागुनूय
padyaaramaam,पड्यारमाम
baapaayparas,बापायपरस
voldemortapaasun,वोल्डेमॉर्टपासून
bukalale,बुकलले
italianani,इटालियनांनी
gunakadun,गुणाकडून
kavatyaanche,कवट्यांचे
aausaahebaansamor,आऊसाहेबांसमोर
banddkhor,बंडखोर
aalakhale,आळखले
vruttapatrehi,वृत्तपत्रेही
sanskrutini,संस्कृतीनी
speshaaliti,स्पेशालीटी
sopaa,सोपा
yaatunach,यातुनच
vishvadharm,विश्वधर्म
mudhyatil,मुद्यातील
faizaabaadaalaagim,फैजाबादालागीं
vijayasathich,विजयासाठीच
leesk,लीस्क
sanganyanusarach,सांगण्यानुसारच
osarivarunach,ओसरीवरूनच
germanvasianchi,जर्मनवासियांची
zeplaay,झेप्लाय
khadakhadun,खदखदून
tharaavaatil,ठरावातील
dhatusathi,धातूसाठी
nivaaralele,निवारलेले
sikyuriteevaalyaakadam,सिक्युरिटीवाल्याकडं
doublechi,डबलची
intaleejansachee,इंटलीजन्सची
choptta,चोपटा
panhyaat,पन्ह्यात
grossmanshi,ग्रॉसमनशी
malachehi,मालाचेही
suchvaavishi,सुचवाविशी
kumbalechi,कुंबळेची
naaraayanagaavahun,नारायणगावहून
dupatichi,दुपटीची
vyaparyachya,व्यापार्याच्या
vaapsichi,वापसीची
facsmadhye,फॅक्समध्ये
langotipatrehi,लंगोटीपत्रेही
shinli,शिणली
ministers,मिनिस्टर्स
janasamanyachya,जनसामान्याच्या
vastushantitahi,वास्तुशांतीतही
vinaashahee,विनाशही
pratyekaateel,प्रत्येकातील
saarakile,सारकिले
okeboke,ओकेबोके
sudharaychya,सुधारायच्या
paramaanuprakalpaavaril,परमाणूप्रकल्पावरील
khijaganatitach,खिजगणतीतच
dharmaabaabatit,धर्माबाबतीत
prathamsatra,प्रथमसत्र
guntavanukivaril,गुंतवणूकीवरील
sanchaach,संचाच
bink,बिंक
rudrasinha,रूद्रसिंह
zadetod,झाडेतोड
tabiyatabaddal,तबियतबद्दल
pochlit,पोचलीत
oleench,ओळींच
tyamgeche,त्यामगेचे
turivaril,तुरीवरील
daade,दादे
soirich,सोयरीच
bandatle,बांदतले
kiranaamadhye,किरणांमध्ये
palangachya,पलंगाच्या
kirtiswarup,कीर्तीस्वरूप
vijaynagaraat,विजयनगरात
aranyarudan,अरण्यरुदन
randhraanmadhun,रंध्रांमधून
vishnumaharajanch,विष्णुमहाराजांचं
rasvantigruhe,रसवंतीगृहे
velhyachya,वेल्ह्याच्या
devaataanpuratich,देवातांपुरतीच
saidhantik,सैद्धांतीक
vyaajaatunahi,व्याजातूनही
thele,थेले
kokaneevaadyaannee,कोकणीवाद्यांनी
yachveles,याचवेळेस
confonetchi,कॉन्फोनेटची
kabutaraane,कबुतराने
udbhataan,उद्भटान
ghyaayachyaaveles,घ्यायच्यावेळेस
