chainij,चाइनिज
deyuralee,देउराली
dekhaint,देखैंत
tarkariwali,तरकारीवाली
kathapathme,कथापाठमे
dehalvee,देहलवी
kiaekee,किएकि
jhadkait,झड़कैत
vargkimi,वर्गकिमी
sankarati,सङ्कराति
phaundation,फाउन्डेसन
kantipath,कान्तिपथ
thayland,थायलैंड
bhootpurv,भुतपूर्व
dakshinottaryostda,दक्षिणोत्तरयोस्तदा
santoshsan,सन्तोषसँ
saahsikta,साहसिकता
protsahitah,प्रोत्साहितः
nibhaana,निभान
rajasuto,राजासुतो
vihareelalah,विहारीलालः
madhyamwargpariware,मध्यमवर्गपरिवारे
sadacharme,सदाचारमे
bakasa,बाकस
ujiaari,उजिआरी
bhaktaganak,भक्तगणक
banhabani,बन्हबनि
lahek,लहक
doov,दूव
taraayik,तराईक
swedajeevee,स्वेदजीवी
vahattaree,वहत्तरी
prayogkartaken,प्रयोगकर्ताकें
raahari,राहरि
manbhawat,मनभावत
aadin,आदिन
admund,एडमण्ड
vachaspagati,वाचस्पगति
kuladhari,कुलाधारी
garjishyantyaashu,गर्जिष्यन्त्याशु
intensibh,इन्टेन्सिभ
paristan,परिस्तान
delegation,डेलिगेशन
heerohan,हीरोहन
paisenger,पैसेंजर
manaspatl,मानसपटल
jeneriyo,जेनेरियो
nibtabait,निबटाबैत
murtisabh,मूर्तिसभ
agharee,अघाड़ी
nailagal,नैलागल
kalapani,कालापानी
nyumarket,न्युमार्केट
aacharyalokani,आचार्यलोकनि
prasang,प्रसँग
simfony,सिम्फोनी
naarie,नारिए
pahichanait,पहिचानैत
modiano,मोदियानो
uparashtrapatikael,उपराष्ट्रपतिकएल
janjivanak,जनजीवनक
sahatrashaakh,सहस्रशाख
sameekshalay,समीक्षालय
moram,मोरम
karaheeme,कराहीमे
behoshime,बेहोशीमे
veadvat,वेदवत्
mhagadhimai,महागढीमाई
kahaiyai,कहियै
kartabyaka,कर्तबक
kayartaon,कायरताओं
aayogame,आयोगमे
penhe,पेन्हे
prabaav,प्रबाव
dinanathjiken,दीनानाथजीकेँ
sabaijso,सबैजसो
pakduaa,पकडुआ
maldah,मालदह
loksabhake,लोकसभाके
akichh,अकिछ
trailokyonathah,त्रैलोक्योनाथाः
bhinsarooka,भिनसरूका
laukikme,लौकिकमे
ntmken,एनटीएमकेँ
trauel,ट्रावल
shrikarsan,श्रीकरसँ
bekufee,बेकुफी
mamevishyasie,मामेवैष्यसि
bhangathee,भङ्गठी
sahitakwaktasabh,सहितकवक्तासभ
jyayasee,ज्यायसी
sahoyog,सहोयोग
vigyaniloknik,विज्ञानिलोकनिक
madhyampurushen,मध्यमपुरुषेण
dwijatiriv,द्विजातिरिव
shorae,शोरे
lakhnu,लखनु
angpradesh,अंगप्रदेश
mankanoosar,मानकानुसार
pahchhanal,पहचानल
araree,अरारी
badhnuparchh,बढ्नुपर्छ
islame,इस्लामे
abhinetasabhme,अभिनेतासभमे
mangaak,मंगाक
farakey,फराके
nachene,नचेने
hostingpar,होस्टिंगपर
gunwaak,गुणवाक
panjaabak,पञ्जाबक
samaar,समार
thelalani,ठेललनि
santola,सन्तोला
sarraaf,सर्राफ
makshika,मक्षिका
bigaari,बिगाड़ि
sunaaunga,सुनाऊँगा
arnamarampurak,अर्नामारमपुरक
krishnaramah,कृष्णारामः
teboolpar,टेबूलपर
