fusharun,फुशारुन
bhulthapana,भूलथापाना
vhayaki,व्हायकी
ulca,युएलसीए
dovalanchi,डोवालांची
praveshdvarasathi,प्रवेशद्वारासाठी
avyavasthene,अव्यवस्थेने
sajavatimulech,सजावटीमुळेच
bharatpetroliyam,भारतपेट्रोलियम
anyayambabat,अन्यायांबाबत
hariharakshetra,हरिहरक्षेत्र
aashiyantil,आशियांतील
banvaega,बनवाएगा
rudranchi,रुद्रांची
sthagitichya,स्थगितीच्या
vidyebarobarach,विद्येबरोबरच
mukoba,मुकोबा
loksamuhanchi,लोकसमूहांची
bhondubaban,भोंदूबाबान
builderankade,बिल्डरांकडे
tupane,तुपाने
swikarili,स्वीकारिली
panchkonala,पंचकोनाला
itihasabaddalach,इतिहासाबद्दलच
kshanachitra,क्षणचित्र
darvajankade,दरवाजांकडे
tyachyanparyatan,त्याच्यांपर्यतं
bhojnamule,भोजनामुळे
aashirvadotsavachya,आशिर्वादोत्सवाच्या
mahungaj,महुंगज
mhanaves,म्हणावेस
chaleet,चालीत
pujalelyach,पुजलेल्याच
bastein,बॅस्टीन
pyaya,प्याया
nahati,नाहती
rushipurvajancha,ऋषिपूर्वजांचा
puravayya,पुरवय्या
rupyanla,रूपयांला
kalpnane,कल्पनाने
mahostavans,महोत्सवांस
safalatepasun,सफलतेपासून
dynamite,डायनामाईट
reshohi,रेषोही
pillanshi,पिल्लांशी
chinglis,चिंगलीस
sutayalach,सुटायलाच
palanga,पालंगा
atishrimantanvar,अतिश्रीमंतांवर
anivashannach,अनिवाशांनाच
golandajanvirodhat,गोलंदाजांविरोधात
khadyashrunkhaletala,खाद्यश्रुंखलेतला
tantuvadyanchya,तंतुवाद्यांच्या
pramanakanchi,प्रमाणकांची
bhajipalyanvar,भाजीपाल्यांवर
namarnideshit,नामर्निदेशित
gavale,गवळे
tembhyache,टेंभ्याचे
paritoshkasathi,पारितोषकासाठी
ghogal,घोगल
dhavanchyavar,धावांच्यावर
sitaldas,सितलदास
koranechya,कोराणेच्या
lokanshidekhil,लोकांशीदेखील
sayshache,सायशाचे
ramghat,रामघाटावर
mukhyapravahapasun,मुख्यप्रवाहापासून
naukanmadhil,नौकांमधील
cellulose,सेल्युलोज
mangosteen,मंगोस्टीन
mogakhatir,मोगाखातीर
tayaprat,तयाप्रत
goshtital,गोष्टीतल
komolikanech,कोमोलिकानेच
jinyitan,जिन्यितान
vajavtahet,वाजवताहेत
yuvatil,युवतील
niyamakancha,नियामकांचा
dhagyasambandhit,धाग्यासंबंधित
bioinformatics,बायोइनफॉरमॅटिक्स
redemption,रिडेम्पशन
goshtinpeksha,गोष्टिंपेक्षा
morgevasti,मोरगेवस्ती
ramsarchya,रामसरच्या
engelas,एंजेलस
langraj,लंगराज
vidhansabheta,विधानसभेता
aarogyavardhini,आरोग्यवर्धिनी
rxt,आरएक्सटी
purimadhalya,पुरीमधल्या
melavyababatchi,मेळाव्याबाबतची
vajankatyavarach,वजनकाट्यावरच
surivar,सुरीवर
avadhoota,अवधूता
rashtrapramukhasathi,राष्ट्रप्रमुखासाठी
sanvadchya,संवादच्या
bookletsmadhye,बुकलेट्समध्ये
yamakadoon,यमाकडून
bakichya,बाकिच्या
nivadanukeevelachya,निवडणुकीवेळच्या
samoshyasarkhe,सामोश्यासारखे
subhashjinni,सुभाषजींनी
chanchaninantar,चांचणीनंतर
ramatirthajavalil,रामतीर्थजवळील
zendyavarun,झेंड्यावरून
dantanchi,दांतांची
vimayojanet,विमायोजनेत
karyalayav,कार्यालयाव
karanke,करंके
anudanasambandhi,अनुदानासंबंधी
jejiyapatti,जेजियापट्टी
rassachya,रस्साच्या
karagruhatarfe,कारागृहातर्फे
gokoolche,गोकूळचे
rajgharanya,राजघराण्या
sampavayalach,संपवायलाच
sattakaranacha,सत्ताकारणाचा
lagnyahi,लागण्याही
saranjamencha,सरंजामेंचा
ghuskhorit,घुसखोरीत
sahbhagimadhye,सहभागीमध्ये
farmville,फार्मविले
satyanarayanvrat,सत्यनारायणव्रत
stresses,स्ट्रेसेस
takrarinvarcha,तक्रारींवरचा
emschya,एम्सच्या
niveditatainni,निवेदिताताईंनी
aashirvadamulech,आशीर्वादामुळेच
sabhanata,सभानता
darunach,दारुणच
vaukasathihi,वॉकसाठीही
vedevakadya,वेडेवाकड्या
dvaraqa,द्वारका
rendringsathi,रेंडरिंगसाठी
karagruhamadhun,कारागृहामधुन
chhatrapat,छत्रपत
vinakamatil,विणकामातील
joshiche,जोशीचे
vartaknagarchya,वर्तकनगरच्या
samajahitopayogi,समाजहितोपयोगी
ruvatipasunach,रुवातीपासूनच
kharpatta,खारपट्टा
nilratna,नीलरत्न
karnyavishayich,करण्याविषयीच
durgadoudichya,दुर्गादौडीच्या
tukdyansah,तुकड्यांसह
pancards,पॅनकार्डस्
sangitkalebaddal,संगीतकलेबद्दल
prasensen,प्रसेनसेन
midvana,मिळवणा
alfower,अल्फावर
priyankadekheel,प्रियांकादेखील
magmarg,मागमार्ग
kushtarog,कुष्टरोग
tukaramanshi,तुकारामांशी
sindhkhed,सिंधखेड
aakshepjanak,आक्षेपजनक
