natiji,ਨਤੀਜੀ
gukni,ਗੁਕਨੀ
witner,ਵਿਟਨਰ
gurilliaan,ਗੁਰਿੱਲਿਆਂ
modernisation,ਮੋਡਰਨਾਈਜੇਸ਼ਨ
cigrates,ਸਿਗਰੇਟਸ
skveer,ਸਕਵੀਰ
sahiruda,ਸਹਿਰੂਦਾ
hanguriaan,ਹੰਗੂਰਿਆਂ
alasah,ਅਲਾਸਾਹ
daudi,ਦੌੜੀ
vimanan,ਵਿਮਾਨਨ
pengong,ਪੇਂਗੋਂਗ
celestron,ਸੇਲੇਸਟ੍ਰੋਨ
noorulhaq,ਨੂਰਉਲਹਕ
hualin,ਹੁਆਲੀਨ
cullman,ਕਲਮੈਨ
bakash,ਬਕਾਸ਼
forbrairs,ਫੋਰਬਰੇਅਰਜ਼
indoment,ਇੰਡੋਮੇਂਟ
rennet,ਰੀਨਤ
ratannagar,ਰਤਨਨਗਰ
dbtl,ਡੀਬੀਟੀਐਲ
shuts,ਸ਼ਟਸ
samajhdiaan,ਸਮਝਦਿਆਂ
viswema,ਵਿਸਵੇਮਾ
polypal,ਪੋਲੀਪਲ
sansthap,ਸੰਸਥਾਪ
penje,ਪੇਂਜੇ
marberer,ਮਾਰਬਰਰ
barote,ਬਰੋਟੇ
locomotion,ਲੋਕੋਮੋਸ਼ਨ
habronica,ਹੈਬਰੋਨਿਕਾ
integral,ਇੰਟੀਗ੍ਰੇਲ
blindness,ਬਲਾਈਂਡਨੈੱਸ
sinota,ਸਿਨੋਟਾ
swailinta,ਸਵੈਲੀਨਤਾ
aaburjiaan,ਆਬੁਰਜੀਆਂ
astoria,ਅਸਟੋਰੀਆ
tungalwali,ਤੁੰਗਲਵਾਲੀ
achudev,ਅਚੁਦੇਵ
sucameli,ਸੂਚਾਮੇਲੀ
advances,ਐਡਵਾਂਸਜ
jhalkegi,ਝਲਕੇਗੀ
untouchable,ਅਨਟੱਚੇਬਲ
saupange,ਸੌਪਾਂਗੇ
binnon,ਬਿਨਨ
vidyang,ਵਿਦਿਆਂਗ
sheak,ਸ਼ੀਕ
viktam,ਵਿਕਟਮ
scoreboard,ਸਕੋਰਬੋਰਡ
