kuberastatra,कुबेरस्तत्र
hyanuchintyainam,ह्यनुचिन्त्यैनं
kunchitam,कुञ्चितम्
shreemoortaye,श्रीमूर्तये
klishtaraagasya,क्लिष्टरागस्य
pitrusaukhyena,पितृसौख्येन
yathaashaanti,यथाशान्ति
vishaadyam,विषाद्यम्
tvakhilam,त्वखिलं
tatpurushena,तत्पुरुषेण
sangeetibhramo,सङ्गीतिभ्रमो
vijayapraagbhaavabheema,विजयप्राग्भावभीम
dadyustadaa,दद्युस्तदा
setupatinaa,सेतुपतिना
trayanamapaharakale,त्रयाणामपहारकाले
teekaastatkartaarashch,टीकास्तत्कर्तारश्च
asyaavasare,अस्यावसरे
vrushavaahanaay,वृषवाहनाय
nrupoapi,नृपोऽपि
bahuvreehiprakaranam,बहुव्रीहिप्रकरणम्
hamsarakshako,हंसरक्षको
neecharaashisthah,नीचराशिस्थः
vihangamaashch,विहङ्गमाश्च
pishangataa,पिशङ्गता
pariharishyanti,परिहरिष्यन्ति
paramadityamadyam,परमादित्यमाद्यं
purushottamaraajasy,पुरुषोत्तमराजस्य
eyaa,एया
aadhordhva,आधोर्ध्व
ekatapratibhaa,एकतप्रतिभा
janitaaparogasahite,जनितापरोगसहिते
bhattappanaayakah,भट्टप्पनायकः
naarabhate,नारभते
nirupaadhimaye,निरुपाधिमये
farasibhasha,फारसीभाषा
heenaadwipro,हीनाद्विप्रो
visheshanameveti,विशेषणमेवेति
paapanishchayah,पापनिश्चयः
adhyardhak,अध्यर्धक
kaalaadhvaanaaviti,कालाध्वानाविति
simasime,सीमसीमे
hrudayaanmastakaantam,हृदयान्मस्तकान्तम्
yaavateeya,यावतीय
atishitata,अतिशीतता
yaachan,याचन
marmrujyamaana,मर्मृज्यमान
samskrutabandhoonaam,संस्कृतबन्धूनां
sandeham,संदेहं
ityaalapannapi,इत्यालपन्नपि
ucchishriye,उच्छिश्रिये
evamutsiktamadena,एवमुत्सिक्तमदेन
naagoashwasenah,नागोऽश्वसेनः
sakhaavruttijavidyayaa,सखावृत्तिजविद्यया
falamoolin,फलमूलिन्
prachinapaksha,प्राचीनपक्ष
sarvakaamadudhaustanau,सर्वकामदुधौस्तनौ
