thottacharya,தொட்டாச்சார்ய
menmaithaan,மென்மைதான்
avarantri,அவரன்றி
mudiyarathu,முடியறது
aadaiyanigalaal,ஆடையணிகளால்
muzhumaiyaakkugindrana,முழுமையாக்குகின்றன
onthaachchimataththaich,ஒந்தாச்சிமடத்தைச்
magaathaevagikku,மகாதேவகிக்கு
paeruraiyaaga,பேருரையாக
vaerkkintrana,வேர்க்கின்றன
moolamee,மூலமீ
asokbabu,அசோக்பாபு
muththeeyai,முத்தீயை
sooriyagandhaiyil,சூரியகந்தையில்
vizhichchuttu,விழிச்சுட்டு
sarveshwaranudaiya,சர்வேசுவரனுடைய
jeyiththuvidugiraar,ஜெயித்துவிடுகிறார்
punyaavum,புண்யாவும்
ammankoayilgalilum,அம்மன்கோயில்களிலும்
paathukaakkaavidin,பாதுகாக்காவிடின்
vaanaththaiyum,வானத்தையும்
thirutthuzhaayaith,திருத்துழாயைத்
ellampettai,எல்லம்பேட்டை
rekasarma,ரேகாசர்மா
chinimaapada,சினிமாபட
kottivarum,கொட்டிவரும்
iyakkaththiranil,இயக்கத்திறனில்
vasiththaargaloa,வசித்தார்களோ
sundararajan,சுந்தரராஜனின்
paniyaalarkkum,பணியாளர்க்கும்
kirahiththukkondu,கிரஹித்துக்கொண்டு
thiruvullatthaal,திருவுள்ளத்தால்
kuzhumangale,குழுமங்களே
inana,இனானா
veettuththa,வீட்டுத்த
unmaikkumaaraana,உண்மைக்குமாறான
kaaththidugindraal,காத்திடுகின்றாள்
brahmakulam,பிரம்மகுளம்
pilparuththi,பில்பருத்தி
veruppugalaith,வெறுப்புகளைத்
munvaikkavulla,முன்வைக்கவுள்ள
thokkup,தொக்குப்
vazhiththedungkal,வழித்தெடுங்கள்
kadalvalaththathai,கடல்வளத்ததை
yuthishtiraraaga,யுதிஷ்டிரராக
athamapthai,அதமப்தை
aalukaikkulthaan,ஆளுகைக்குள்தான்
paeraasiriyarkalidaiyae,பேராசிரியர்களிடையே
panividuppu,பணிவிடுப்பு
pirachchanaikalaanathu,பிரச்சனைகளானது
illaidivi,இல்லைடிவி
samharithuvittu,சம்ஹரித்துவிட்டு
kuraivathaikkandu,குறைவதைக்கண்டு
thuraviyaagivida,துறவியாகிவிட
isaikiraan,இசைகிறான்
vizhikoorkaiyil,விழிகூர்கையில்
kalaathanum,கலாதனும்
aezhavaar,ஏழவார்
qennya,கென்யா
uruppadaatha,உறுப்படாத
poochchaandiyil,பூச்சாண்டியில்
sabaji,சபாஜி
sandhoshappaduththinaar,சந்தோஷப்படுத்தினார்
indhagoayilai,இந்தகோயிலை
anthappakuthik,அந்தப்பகுதிக்
neendilangkum,நீண்டிலங்கும்
kattaayamaanathaagavum,கட்டாயமானதாகவும்
newsilaanthidamum,நியூசிலாந்திடமும்
kattattravaraaga,கட்டற்றவராக
muzhuththeevum,முழுத்தீவும்
thoongalukkup,தூண்களுக்குப்
agilangkalaip,அகிலங்களைப்
kokkalavil,கொக்கலவில்
kanavanukkaavathu,கணவனுக்காவது
idikkap,இடிக்கப்
thoaranangalinaal,தோரணங்களினால்
avvellaththin,அவ்வெள்ளத்தின்
chinnammaiyaal,சின்னம்மையால்
vazhiyaathaa,வழியாதா
basireddy,பாசிரெட்டி
adakkappadavaendum,அடக்கப்படவேண்டும்
ikkoarikkaiyinpadi,இக்கோரிக்கையின்படி
thudippaarkal,துடிப்பார்கள்
kodaikkaanalukkuthaan,கொடைக்கானலுக்குதான்
raajaenthiranudanaana,ராஜேந்திரனுடனான
karjithullaram,கர்ஜித்துள்ளாராம்
vanthuduthunnu,வந்துடுதுன்னு
amukuvaar,அமுக்குவார்
nanjaikkattik,நஞ்சைக்கட்டிக்
meerubavan,மீறுபவன்
biferno,பைஃபெர்னோ
aezhukuthiraigaludan,ஏழுகுதிரைகளுடன்
piraandith,பிறாண்டித்
chinnappatankalum,சின்னப்படங்களும்
kumurugiraan,குமுறுகிறான்
aagiyavaikalidam,ஆகியவைகளிடம்
anaiththunoolgalaiyumae,அனைத்துநூல்களையுமே
noolklum,நூல்க்ளும்
bangalaathaeshukkum,பங்களாதேஷுக்கும்
siraanthi,சிறாந்தி
vasippidaththilum,வசிப்பிடத்திலும்
isaikkindranar,இசைக்கின்றனர்
rashithaavum,ரஷிதாவும்
akkaanigalai,அக்காணிகளை
kooppittaangka,கூப்பிட்டாங்க
varusaththilirunthu,வருசத்திலிருந்து
swire,ஸ்வைர்
sippoaraaloadum,சிப்போராளோடும்
naatakeeyam,நாடகீயம்
vahiththa,வஹித்த
kayaaniyidam,கயானியிடம்
kadusu,கடுசு
malaikkoottaththil,மலைக்கூட்டத்தில்
mirugavathaiyai,மிருகவதையை
maaperumvettriyai,மாபெரும்வெற்றியை
thiruvilanagaril,திருவிளநகரில்
theriyavanthaalthaan,தெரியவந்தால்தான்
vangkigalaalum,வங்கிகளாலும்
nambaavidil,நம்பாவிடில்
natpupaaraattupavar,நட்புபாராட்டுபவர்
thinkiravan,திங்கிறவன்
kondathaithaan,கொண்டதைதான்
suyanalakkaran,சுயநலக்காரன்
pudikkiraangkaloa,புடிக்கிறாங்களோ
nallagaariyaththirku,நல்லகாரியத்திற்கு
sirippavalae,சிரிப்பவளே
synthetic,சிந்தெடிக்
ninaikkappattavanaagi,நினைக்கப்பட்டவனாகி
barolilo,பரோலிலோ
pisiyaagavae,பிசியாகவே
aliviththirunthaar,அளிவித்திருந்தார்
pannaalam,பண்ணாலம்
jananayatrkaana,ஜனநாயத்திற்கான
tuckerine,டக்கரின்
pidiththulaar,பிடித்துளார்
muyarchiyilayum,முயற்சியிலயும்
kaththukkup,கத்துக்குப்
pugunthana,புகுந்தன
kadalpadaiyidam,கடல்படையிடம்
nadiththaruliya,நடித்தருளிய
idikkumpoathu,இடிக்கும்போது
naadugalthadai,நாடுகள்தடை
