sharda,شاردا
nahadkhalistani,نہادخالصتانی
prosecotor,پروسیکوٹر
adharchali,ادھرچلی
medcolegal,میڈکولیگل
salmira,سالمیرا
porinol,پورینول
atasu,اتاسو
mahsudgumal,محسودگومل
seesbakdosh,سیسبکدوش
khairnazar,خیرنظر
mutarshakh,مترشخ
kophardobarah,کوپھردوبارہ
ahalkarpakistan,اہلکارپاکستان
anjinakam,انجیناکم
timbunist,ٹمبونسٹ
tadfaq,تدفق
sarisnath,سریسناتھ
dewandagi,دیواندگی
someja,سومیجا
jarma,جرما
joharqasmi,جوہرقاسمی
gupping,گپنگ
aurambasharhasan,اورمبشرحسن
jangnuma,جنگنما
kakashatkar,کاکاشتکار
faisadjapan,فیصدجاپان
pornigal,پورنیگل
laurala,لورالا
prostan,پروسٹن
androfadari,اندروفاداری
wardwell,وارڈویل
adigraphic,ایڈیگرافک
fosing,فوسنگ
pelanj,پیلنج
preshiya,پریشیا
pargili,پرگیلی
nashraf,نشرف
wabreesa,وبریسا
gand,گند
hartral,ہارٹرل
sarkharonhi,سرخرونہی
slorstein,سلورسٹین
aghwak,اغواک
bergedki,برگیڈکی
baghairshaeri,بغیرشاعری
sabsabhi,سبسبھی
parnipam,پرنیپام
justrar,جسٹرار
aatishzardagi,آتشزردگی
bawadi,باوڑی
lanteli,لانٹیلی
mohabaq,محبق
balakokhtam,بالاکوختم
amjadak,امجدک
kashidgio,کشیدگیو
sarbulandak,سربلندک
kashmeerparmarkzi,کشمیرپرمرکزی
jambharankar,جامبھرنکر
heifsts,ہیفسٹس
trogra,ٹراگرا
zahirsi,ظاہرسی
kyamazhab,کیامذہب
akhbartiyar,اخبارتیار
coredra,کوریڈرا
veltaki,ویلٹاکی
andazsiast,اندازسیاست
aurghat,اورگھاٹ
lontry,لونٹری
satkabirangar,ستکبیرنگر
bolayah,بولایہ
qadarkarpa,قدرکرپا
pojakri,پوجاکری
aisakran,ایساکرن
calligora,کیلیگورا
gyangpi,گیانگپی
mutsilaat,متصلات
karbahadar,کاربہادر
karneji,کرنیجی
regimetration,ریجیمیٹریشن
hoojoom,ہجوم
aurjashkot,اورجشکوٹ
rabang,ربانگ
aamami,آمامی
marikarana,ماریکارانہ
gathari,گٹھڑی
masmasari,مسمساری
univer,یونیور
